epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,425.38,1.6957,1.31032,1.27434,0.73469,0.49348,0.58426,0.2596,1.86742,1.38546,1.3281,0.0011882,0.0011882,0.0011882
43,435.328,1.68065,1.26142,1.27359,0.782,0.5619,0.66809,0.33675,1.64124,1.23687,1.21592,0.0011684,0.0011684,0.0011684
44,445.316,1.68762,1.26855,1.27987,0.67456,0.41544,0.49877,0.21825,1.92402,1.45065,1.40681,0.0011486,0.0011486,0.0011486
45,455.447,1.68104,1.26478,1.27357,0.75312,0.44041,0.51454,0.21997,2.04524,1.42489,1.47176,0.0011288,0.0011288,0.0011288
46,465.427,1.68649,1.26353,1.27152,0.71332,0.49376,0.57743,0.25589,1.95891,1.3241,1.41266,0.001109,0.001109,0.001109
47,475.357,1.65088,1.23813,1.26653,0.76174,0.60967,0.69381,0.31853,1.77245,1.21545,1.2897,0.0010892,0.0010892,0.0010892
48,485.498,1.68918,1.23247,1.26735,0.81895,0.60386,0.7053,0.35062,1.70603,1.12375,1.25022,0.0010694,0.0010694,0.0010694
49,495.439,1.67304,1.23557,1.26213,0.76444,0.50464,0.59114,0.26476,1.83926,1.38899,1.3283,0.0010496,0.0010496,0.0010496
50,505.392,1.65383,1.21798,1.24954,0.79921,0.56867,0.66763,0.3198,1.73868,1.2153,1.26979,0.0010298,0.0010298,0.0010298
51,515.442,1.62472,1.17245,1.23698,0.75224,0.60045,0.67661,0.30438,1.85384,1.18427,1.32336,0.00101,0.00101,0.00101
52,525.416,1.63637,1.19956,1.24848,0.80683,0.55846,0.67894,0.31362,1.78551,1.2376,1.27721,0.0009902,0.0009902,0.0009902
53,535.358,1.5974,1.16355,1.22072,0.82716,0.65834,0.73622,0.35555,1.75537,1.06225,1.25454,0.0009704,0.0009704,0.0009704
54,545.527,1.64662,1.18534,1.23595,0.71657,0.52781,0.59999,0.24378,1.95908,1.35113,1.41272,0.0009506,0.0009506,0.0009506
55,555.325,1.60412,1.18095,1.2577,0.79687,0.59591,0.67009,0.30029,1.83619,1.1829,1.32329,0.0009308,0.0009308,0.0009308
56,565.232,1.6027,1.16993,1.23593,0.77353,0.55442,0.64206,0.27613,1.93488,1.24785,1.37341,0.000911,0.000911,0.000911
